
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
      Lambda[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
   W_tilde[197,3]     -2.18      2.43     -1.74     -5.77      1.33    587.07      1.00
   W_tilde[197,4]      2.68      0.97      2.63      1.05      4.14    863.00      1.00
   W_tilde[198,0]      8.23      2.31      7.94      5.02     12.48    357.07      1.00
   W_tilde[198,1]     19.54      4.13     19.24     12.95     25.81    404.25      1.00
   W_tilde[198,2]     -5.71      2.18     -5.55     -9.34     -2.48    547.82      1.00
   W_tilde[198,3]      7.81      1.86      7.69      4.92     10.84    468.45      1.00
   W_tilde[198,4]      0.03      1.18      0.23     -1.81      1.68    679.98      1.00
   W_tilde[199,0]      3.73      1.74      3.59      1.07      6.43    418.31      1.00
   W_tilde[199,1]      5.33      4.72      5.92      0.03     12.57    298.63      1.00
   W_tilde[199,2]     -2.81      1.76     -2.70     -5.55      0.11    581.34      1.00
   W_tilde[199,3]      1.94      2.17      2.28     -0.81      5.01    359.61      1.00
   W_tilde[199,4]     -0.10      1.77      0.28     -2.65      2.28    435.22      1.00
   W_tilde[200,0]      4.46      1.55      4.30      1.75      6.81   1059.06      1.01
   W_tilde[200,1]      3.83      1.21      3.69      1.95      5.98    826.05      1.00
   W_tilde[200,2]     -3.65      1.69     -3.63     -6.23     -0.83   1296.48      1.00
   W_tilde[200,3]      1.07      0.77      1.06     -0.12      2.42   1015.93      1.00
   W_tilde[200,4]     -1.20      1.03     -0.98     -2.76      0.32    961.44      1.00
   W_tilde[201,0]     -3.31      1.75     -3.17     -6.14     -0.47   1012.09      1.00
   W_tilde[201,1]    -10.66      5.83     -9.88    -20.17     -1.93    697.76      1.00
   W_tilde[201,2]      2.26      1.06      2.24      0.73      4.19   1321.82      1.00
   W_tilde[201,3]     -2.96      2.60     -2.58     -6.71      1.15    754.09      1.00
   W_tilde[201,4]     -3.32      1.87     -2.93     -6.07     -0.61    938.35      1.00
   W_tilde[202,0]     -8.06      2.31     -8.02    -11.64     -4.17    229.32      1.00
   W_tilde[202,1]    -12.48      5.74    -11.91    -21.96     -3.92    977.46      1.00
   W_tilde[202,2]      6.56      1.32      6.46      4.36      8.56    437.36      1.00
   W_tilde[202,3]     -3.04      2.57     -2.72     -7.01      0.71   1090.84      1.00
   W_tilde[202,4]     -2.29      1.76     -1.94     -4.75      0.42    704.57      1.00
   W_tilde[203,0]      8.29      2.57      8.00      4.33     12.55    928.99      1.01
   W_tilde[203,1]     -4.59      5.24     -3.31    -12.74      2.10    441.98      1.00
   W_tilde[203,2]     -6.79      2.45     -6.60    -10.79     -3.04    869.41      1.00
   W_tilde[203,3]     -2.58      2.36     -2.10     -6.34      0.84    598.49      1.00
   W_tilde[203,4]     -3.81      2.41     -3.49     -7.63     -0.31    787.36      1.00
   W_tilde[204,0]     -9.64      2.60     -9.48    -13.88     -5.43    173.93      1.02
   W_tilde[204,1]     -3.93      3.83     -3.28    -10.10      1.18    819.24      1.00
   W_tilde[204,2]      7.87      1.70      7.85      5.51     10.88    353.55      1.02
   W_tilde[204,3]     -2.97      1.96     -2.64     -5.97      0.06    903.64      1.00
   W_tilde[204,4]      7.04      1.76      6.90      4.11      9.79    431.41      1.01
   W_tilde[205,0]      5.47      1.70      5.28      2.94      8.16    426.42      1.00
   W_tilde[205,1]     -1.17      5.21      0.59     -9.21      5.48    262.70      1.00
   W_tilde[205,2]     -4.35      1.93     -4.25     -7.11     -1.10    515.35      1.00
   W_tilde[205,3]     -1.41      2.37     -0.85     -4.65      2.10    364.00      1.00
   W_tilde[205,4]     -1.19      2.82     -0.71     -5.80      2.75    698.19      1.00
   W_tilde[206,0]     -6.94      2.39     -6.86    -10.98     -3.22    223.05      1.00
   W_tilde[206,1]     -6.56      5.29     -5.24    -15.42      0.22    418.45      1.00
   W_tilde[206,2]      6.01      1.40      5.91      3.78      8.32    429.22      1.01
   W_tilde[206,3]     -0.26      2.44      0.50     -3.99      3.27    432.18      1.00
   W_tilde[206,4]     -2.17      1.91     -1.80     -4.94      0.53    785.16      1.00
   W_tilde[207,0]      3.24      1.28      3.14      1.23      5.20    753.69      1.00
   W_tilde[207,1]      8.76      2.31      8.55      5.10     12.38    360.39      1.01
   W_tilde[207,2]     -2.29      1.48     -2.23     -4.84     -0.10    995.43      1.00
   W_tilde[207,3]      4.24      1.20      4.18      2.22      6.08    320.69      1.01
   W_tilde[207,4]     -1.33      1.70     -1.00     -4.14      1.11   1076.93      1.00
   W_tilde[208,0]     -0.30      1.48     -0.18     -2.81      1.97   1203.57      1.00
   W_tilde[208,1]      7.03      2.49      6.93      2.73     10.65    412.60      1.00
   W_tilde[208,2]      0.15      1.33      0.26     -2.10      2.22    616.79      1.00
   W_tilde[208,3]      5.40      1.13      5.33      3.62      7.16    323.12      1.00
   W_tilde[208,4]     -3.18      1.72     -2.93     -5.72     -0.32    993.10      1.00
   W_tilde[209,0]      3.93      1.30      3.81      1.89      6.15    948.30      1.00
   W_tilde[209,1]      5.03      1.66      4.94      1.95      7.29    631.57      1.00
   W_tilde[209,2]     -3.06      1.54     -3.00     -5.83     -0.72    911.34      1.00
   W_tilde[209,3]      1.25      0.90      1.25     -0.03      2.89   1064.26      1.00
   W_tilde[209,4]      0.30      1.02      0.44     -1.13      1.92    730.26      1.00
   W_tilde[210,0]      3.71      1.11      3.65      1.89      5.46    426.20      1.00
   W_tilde[210,1]     -4.20      4.65     -3.60    -10.88      2.85    781.01      1.00
   W_tilde[210,2]     -3.36      1.43     -3.28     -5.37     -0.85    914.38      1.00
   W_tilde[210,3]     -3.22      2.19     -2.83     -6.55      0.10    913.40      1.00
   W_tilde[210,4]      0.15      1.23      0.40     -1.34      1.83    437.21      1.00
   W_tilde[211,0]      4.35      1.77      4.12      1.41      7.07    690.17      1.00
   W_tilde[211,1]     -3.95      5.13     -2.85    -12.03      3.27    405.67      1.00
   W_tilde[211,2]     -3.62      1.81     -3.57     -6.46     -0.69   1090.11      1.00
   W_tilde[211,3]     -2.58      2.43     -2.11     -6.21      1.03    535.89      1.00
   W_tilde[211,4]     -1.01      2.07     -0.31     -4.28      1.70    327.36      1.00
   W_tilde[212,0]     -3.33      1.96     -3.15     -6.24     -0.17    435.21      1.01
   W_tilde[212,1]      1.05      4.59      2.14     -6.21      7.44    387.13      1.00
   W_tilde[212,2]      2.51      1.25      2.51      0.50      4.43   1189.08      1.00
   W_tilde[212,3]     -0.03      2.38      0.45     -3.86      3.52    503.25      1.00
   W_tilde[212,4]      2.99      1.03      2.91      1.21      4.53   1017.88      1.00
   W_tilde[213,0]      5.35      1.62      5.19      2.82      7.91    795.07      1.00
   W_tilde[213,1]     -4.04      4.03     -3.18     -9.55      1.46    452.42      1.00
   W_tilde[213,2]     -4.34      1.90     -4.23     -7.61     -1.47    707.11      1.00
   W_tilde[213,3]     -4.01      2.27     -3.60     -7.67     -0.74    449.59      1.00
   W_tilde[213,4]      1.41      1.61      1.63     -0.49      3.58    317.00      1.01
   W_tilde[214,0]      2.57      0.95      2.53      1.17      4.14    838.99      1.00
   W_tilde[214,1]     17.66      4.37     17.50     10.31     24.31    878.81      1.00
   W_tilde[214,2]     -1.54      1.34     -1.39     -3.62      0.61   1129.11      1.00
   W_tilde[214,3]      8.67      2.16      8.45      4.99     11.99    838.19      1.00
   W_tilde[214,4]     -0.91      1.39     -0.69     -3.11      1.09    785.92      1.00
   W_tilde[215,0]     -3.69      2.15     -3.65     -7.19     -0.29    380.91      1.00
   W_tilde[215,1]      3.83      2.54      3.95     -0.16      8.14    940.47      1.00
   W_tilde[215,2]      3.83      0.87      3.77      2.41      5.18    363.56      1.02
   W_tilde[215,3]      4.84      1.46      4.81      2.24      6.89    803.38      1.00
   W_tilde[215,4]     -3.23      1.67     -3.03     -5.86     -0.62   1180.96      1.00
   W_tilde[216,0]     10.68      2.79     10.36      6.16     15.03    739.14      1.00
   W_tilde[216,1]     11.03      2.71     10.99      6.78     15.39    472.82      1.00
   W_tilde[216,2]     -8.00      2.45     -7.88    -12.13     -4.21    709.09      1.00
   W_tilde[216,3]      4.56      0.99      4.54      3.06      6.25    291.32      1.02
   W_tilde[216,4]     -3.24      1.92     -3.08     -5.94     -0.10   1163.98      1.00
   W_tilde[217,0]      1.90      2.46      2.00     -2.35      5.76   1467.62      1.00
   W_tilde[217,1]      0.35      4.40      1.37     -7.32      5.88    562.01      1.00
   W_tilde[217,2]     -1.80      2.04     -1.75     -4.91      1.66   1320.71      1.00
   W_tilde[217,3]     -1.07      2.07     -0.62     -4.44      1.78    639.27      1.00
   W_tilde[217,4]      1.32      1.08      1.44     -0.22      2.97    573.39      1.00
   W_tilde[218,0]      4.15      1.49      4.09      1.77      6.55    795.41      1.00
   W_tilde[218,1]     -6.95      5.17     -5.99    -14.03      0.28    755.15      1.00
   W_tilde[218,2]     -3.60      1.66     -3.56     -6.42     -1.10    842.08      1.00
   W_tilde[218,3]     -2.77      2.47     -2.42     -6.61      0.90    866.73      1.00
   W_tilde[218,4]     -3.57      2.24     -3.33     -7.00      0.24   1247.48      1.00
   W_tilde[219,0]      3.48      1.85      3.38      0.66      6.51    857.26      1.00
   W_tilde[219,1]     -3.71      5.29     -2.56    -11.59      3.26    357.00      1.00
   W_tilde[219,2]     -3.06      1.83     -2.92     -5.86     -0.05   1128.30      1.00
   W_tilde[219,3]     -2.42      2.29     -1.88     -5.90      1.00    530.10      1.00
   W_tilde[219,4]     -0.71      2.42     -0.18     -4.60      2.72    599.05      1.00
   W_tilde[220,0]     -6.35      2.26     -6.24     -9.95     -2.48    598.08      1.01
   W_tilde[220,1]     -2.10      4.30     -0.76     -9.45      2.86    841.93      1.00
   W_tilde[220,2]      5.19      1.47      5.11      2.78      7.45    279.26      1.00
   W_tilde[220,3]     -1.16      2.11     -0.67     -4.59      1.64    875.98      1.00
   W_tilde[220,4]      3.52      1.03      3.45      2.08      5.40    730.45      1.00
   W_tilde[221,0]     -5.62      2.11     -5.49     -8.88     -2.24    650.22      1.00
   W_tilde[221,1]    -10.15      5.94     -9.44    -18.83     -0.67   1043.41      1.00
   W_tilde[221,2]      4.33      1.42      4.25      1.97      6.34    555.02      1.00
   W_tilde[221,3]     -2.60      2.67     -2.34     -6.27      2.13   1234.40      1.00
   W_tilde[221,4]     -2.18      2.13     -1.84     -5.56      0.90   1408.44      1.00
   W_tilde[222,0]     -4.95      1.98     -4.80     -8.20     -1.83    611.59      1.00
   W_tilde[222,1]      0.98      4.86      2.39     -7.29      6.21    275.08      1.00
   W_tilde[222,2]      4.36      1.27      4.24      2.24      6.23    371.96      1.00
   W_tilde[222,3]      1.29      2.08      1.82     -1.50      4.31    305.93      1.00
   W_tilde[222,4]      0.63      1.37      0.75     -1.52      2.68    945.92      1.00
   W_tilde[223,0]     -6.82      2.36     -6.68    -10.24     -2.44    557.69      1.01
   W_tilde[223,1]      0.68      2.13      1.00     -2.26      4.15    764.35      1.00
   W_tilde[223,2]      6.15      1.59      5.99      3.57      8.78    534.51      1.01
   W_tilde[223,3]      3.66      1.10      3.67      1.97      5.43    463.78      1.01
   W_tilde[223,4]     -2.23      1.86     -2.02     -4.87      0.83    913.35      1.00
   W_tilde[224,0]     -6.24      2.17     -6.14     -9.36     -2.39    452.44      1.00
   W_tilde[224,1]      7.19      2.50      6.99      3.32     11.29    373.74      1.01
   W_tilde[224,2]      5.46      1.32      5.34      3.35      7.63    430.59      1.00
   W_tilde[224,3]      3.01      1.37      2.96      0.76      5.23    400.83      1.00
   W_tilde[224,4]      5.36      1.43      5.20      3.15      7.80    550.84      1.02
   W_tilde[225,0]     -2.97      1.59     -2.73     -5.53     -0.51    906.77      1.01
   W_tilde[225,1]     -7.14      5.20     -6.12    -14.88      0.11    620.08      1.00
   W_tilde[225,2]      1.58      1.21      1.59     -0.48      3.43   1182.33      1.00
   W_tilde[225,3]     -3.12      2.37     -2.81     -7.20      0.18    955.50      1.00
   W_tilde[225,4]      0.31      2.66      0.89     -4.43      4.12    750.33      1.00
   W_tilde[226,0]     -4.89      2.06     -4.86     -8.22     -1.56    584.72      1.00
   W_tilde[226,1]     10.71      3.23     10.44      5.55     15.63    397.61      1.00
   W_tilde[226,2]      4.87      1.14      4.80      2.91      6.56    627.87      1.01
   W_tilde[226,3]      4.40      1.55      4.26      1.96      6.82    441.04      1.00
   W_tilde[226,4]      4.33      1.37      4.30      2.04      6.65    949.21      1.01
   W_tilde[227,0]      0.08      1.08      0.21     -1.42      1.75    813.20      1.00
   W_tilde[227,1]      0.43      5.14      1.83     -6.28      7.43    223.23      1.00
   W_tilde[227,2]     -0.16      1.15     -0.05     -1.72      1.93    919.33      1.00
   W_tilde[227,3]      1.40      2.63      1.92     -2.11      5.28    230.77      1.00
   W_tilde[227,4]     -2.15      2.20     -1.87     -5.58      1.11   1102.42      1.00
   W_tilde[228,0]      3.17      1.37      3.12      0.84      5.24   1188.20      1.00
   W_tilde[228,1]     -9.39      5.37     -8.72    -18.13     -0.95    859.91      1.00
   W_tilde[228,2]     -3.03      1.65     -2.96     -5.49     -0.19   1093.12      1.00
   W_tilde[228,3]     -3.79      2.38     -3.47     -7.77     -0.48    763.49      1.00
   W_tilde[228,4]     -3.80      2.32     -3.46     -7.43     -0.16   1308.95      1.00
   W_tilde[229,0]     -1.14      1.89     -0.93     -4.06      1.96   1111.06      1.00
   W_tilde[229,1]      8.36      2.01      8.32      5.32     11.75    432.56      1.00
   W_tilde[229,2]      1.16      1.42      1.21     -0.97      3.41   1110.91      1.00
   W_tilde[229,3]      1.78      0.74      1.81      0.48      2.87    546.77      1.00
   W_tilde[229,4]      5.36      1.39      5.26      2.97      7.53    748.10      1.00
   W_tilde[230,0]     -1.12      1.25     -0.98     -2.83      1.12    936.99      1.00
   W_tilde[230,1]    -11.44      5.81    -10.63    -19.89     -2.36    816.18      1.00
   W_tilde[230,2]     -0.35      1.12     -0.23     -2.08      1.47    961.10      1.00
   W_tilde[230,3]     -4.01      2.50     -3.58     -7.75     -0.11   1325.52      1.00
   W_tilde[230,4]     -3.51      2.25     -3.16     -6.82      0.10   1064.11      1.00
   W_tilde[231,0]      7.75      2.18      7.54      4.21     11.15    903.96      1.01
   W_tilde[231,1]     11.69      2.58     11.50      7.30     15.52    386.73      1.01
   W_tilde[231,2]     -5.52      2.13     -5.52     -8.78     -1.74    992.77      1.00
   W_tilde[231,3]      5.17      1.28      5.08      2.98      7.14    517.56      1.00
   W_tilde[231,4]     -2.17      1.80     -1.81     -4.93      0.68    986.36      1.00
   W_tilde[232,0]     -3.78      2.17     -3.69     -7.57     -0.46    775.24      1.00
   W_tilde[232,1]     -8.73      5.97     -7.94    -17.63      1.04    518.09      1.00
   W_tilde[232,2]      2.84      1.42      2.92      0.83      5.12    628.56      1.00
   W_tilde[232,3]     -2.72      2.60     -2.40     -6.88      1.03    901.24      1.00
   W_tilde[232,4]     -1.59      2.34     -1.05     -5.40      1.75    573.65      1.00
   W_tilde[233,0]      2.78      0.89      2.78      1.39      4.36   1130.01      1.00
   W_tilde[233,1]     -7.20      5.78     -6.47    -15.59      1.97    544.86      1.00
   W_tilde[233,2]     -2.52      1.45     -2.49     -4.65      0.04   1087.37      1.00
   W_tilde[233,3]     -2.66      2.55     -2.25     -6.48      1.19    703.20      1.00
