
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
      Lambda[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
    W_tilde[51,0]     -4.17      1.75     -4.11     -7.00     -1.32    595.60      1.00
    W_tilde[51,1]     -2.78      4.98     -1.35    -10.03      4.20    615.08      1.00
    W_tilde[51,2]      3.31      0.85      3.29      1.96      4.71    396.08      1.01
    W_tilde[51,3]     -1.74      2.28     -1.15     -5.05      1.49    627.23      1.00
    W_tilde[51,4]      2.56      0.88      2.49      1.16      4.10    596.30      1.01
    W_tilde[52,0]     -5.15      2.15     -5.21     -8.56     -1.67    356.13      1.00
    W_tilde[52,1]     -4.76      5.64     -3.71    -12.54      3.28    331.26      1.00
    W_tilde[52,2]      4.45      1.08      4.38      2.76      6.30    424.90      1.01
    W_tilde[52,3]     -0.15      2.41      0.48     -3.61      3.10    287.67      1.00
    W_tilde[52,4]     -1.67      2.08     -1.39     -4.72      1.62   1067.67      1.00
    W_tilde[53,0]      1.17      1.06      1.26     -0.29      3.04    644.83      1.00
    W_tilde[53,1]     10.80      2.54     10.77      6.66     15.05    602.27      1.00
    W_tilde[53,2]     -0.69      1.18     -0.56     -2.48      1.17    717.01      1.00
    W_tilde[53,3]      5.61      1.30      5.59      3.57      7.97    619.99      1.00
    W_tilde[53,4]     -0.72      1.79     -0.44     -3.42      2.23    902.94      1.00
    W_tilde[54,0]     -0.14      1.06     -0.03     -1.93      1.54    866.54      1.00
    W_tilde[54,1]    -10.21      5.63     -9.53    -18.75     -1.41    804.61      1.00
    W_tilde[54,2]     -1.12      1.15     -1.03     -2.73      0.83    796.20      1.00
    W_tilde[54,3]     -3.95      2.41     -3.60     -7.51     -0.23    916.88      1.00
